"id","is_orig","expanded","date","account.url","account.name","account.handle","account.subscriberCount","account.id","account.platform","account.platformId","account.verified"
82580949333,TRUE,"http://www.cubadebate.cu/noticias/2017/01/12/fuentes-no-oficiales-barack-obama-pone-fin-a-la-politica-pies-secos-pies-mojados","2017-01-13 21:41:10","https://www.facebook.com/groups/300176403665207","Periódico ¡ahora!",NA,3183,10189262,"Facebook","300176403665207",FALSE
78556802650,TRUE,"http://www.cubadebate.cu/noticias/2017/01/12/fuentes-no-oficiales-barack-obama-pone-fin-a-la-politica-pies-secos-pies-mojados","2017-01-13 15:24:54","https://www.facebook.com/groups/323999281094441","ARG. TIENE FUTURO",NA,14512,8586279,"Facebook","323999281094441",FALSE
7739558597,TRUE,"http://www.cubadebate.cu/noticias/2017/01/12/fuentes-no-oficiales-barack-obama-pone-fin-a-la-politica-pies-secos-pies-mojados","2017-01-13 12:03:11","https://www.facebook.com/82409693514","Cubadebate","cubadebate",538732,765224,"Facebook","82409693514",FALSE
79588156637,TRUE,"http://www.cubadebate.cu/noticias/2017/01/12/fuentes-no-oficiales-barack-obama-pone-fin-a-la-politica-pies-secos-pies-mojados","2017-01-13 01:33:25","https://www.facebook.com/groups/377355269080978","Venezuela amiga de Rusia,China,Iran",NA,22908,9000605,"Facebook","377355269080978",FALSE
84960936847,TRUE,"http://www.cubadebate.cu/noticias/2017/01/12/fuentes-no-oficiales-barack-obama-pone-fin-a-la-politica-pies-secos-pies-mojados","2017-01-12 23:54:20","https://www.facebook.com/groups/1052428091522987","Amici a cui piace  Italia-Cuba Milano <""Arnaldo Cambiaghi>""",NA,705,10913971,"Facebook","1052428091522987",FALSE
81862854922,TRUE,"http://www.cubadebate.cu/noticias/2017/01/12/fuentes-no-oficiales-barack-obama-pone-fin-a-la-politica-pies-secos-pies-mojados","2017-01-12 22:29:41","https://www.facebook.com/groups/1724188314514274","Movimiento Nacional Y Popular",NA,4334,10134924,"Facebook","1724188314514274",FALSE
85144416418,TRUE,"http://www.cubadebate.cu/noticias/2017/01/12/fuentes-no-oficiales-barack-obama-pone-fin-a-la-politica-pies-secos-pies-mojados","2017-01-12 22:29:02","https://www.facebook.com/groups/79921385651","Hugo Rafael Chávez Frías",NA,7515,11047032,"Facebook","79921385651",FALSE
94555859860,TRUE,"http://www.cubadebate.cu/noticias/2017/01/12/fuentes-no-oficiales-barack-obama-pone-fin-a-la-politica-pies-secos-pies-mojados","2017-01-12 22:05:50","https://www.facebook.com/132111958780","NO al Bloqueo contra Cuba","nobloqueocuba",51789,11575742,"Facebook","132111958780",FALSE
7734499040,TRUE,"http://www.cubadebate.cu/noticias/2017/01/12/fuentes-no-oficiales-barack-obama-pone-fin-a-la-politica-pies-secos-pies-mojados","2017-01-12 22:05:18","https://www.facebook.com/82409693514","Cubadebate","cubadebate",538732,765224,"Facebook","82409693514",FALSE
7974579036,FALSE,"http://www.inquisitr.com/3942917/standing-rock-protest-camp-evicted-in-police-raid-as-cleanup-begins-at-site/","2017-02-02 08:00:13","https://www.facebook.com/71179904752","The Inquisitr","theinquisitr",2866648,35551,"Facebook","71179904752",TRUE
81981866393,TRUE,"http://heavy.com/sports/2017/04/protests-paraguay-set-fire-congress","2017-04-01 09:42:37","https://www.facebook.com/groups/964350303617503","Chez nous c'est le Québec libre...",NA,667,10130392,"Facebook","964350303617503",FALSE
9864006066,FALSE,"http://www.palestinechronicle.com/bill-to-declare-israel-a-jewish-state-returns-to-national-agenda/","2017-05-08 07:49:30","https://www.facebook.com/302592203117857","The Palestine Chronicle","palestinechronicle",24663,41715,"Facebook","302592203117857",FALSE
12530666349,FALSE,"http://www.palestinechronicle.com/israeli-opposition-leader-says-israeli-politics-fascist-us-peace-deal-will-fail/","2017-06-26 22:18:16","https://www.facebook.com/302592203117857","The Palestine Chronicle","palestinechronicle",24663,41715,"Facebook","302592203117857",FALSE
13377732966,TRUE,"http://www.refinery29.com/2017/07/162223/frida-kahlo-birthday-google-mixup-rebecca-minkoff","2017-07-12 15:26:15","https://www.facebook.com/77383965939","Rebecca Minkoff","rebeccaminkoff",435257,22353,"Facebook","77383965939",TRUE
77494217746,TRUE,"http://www.telesurtv.net/english/news/Venezuela-Swears-in-Constituent-Assembly-Members-20170803-0031.html","2017-08-05 11:18:31","https://www.facebook.com/groups/22339793040","The Young Lords",NA,4605,7869005,"Facebook","22339793040",FALSE
77812302531,TRUE,"http://www.telesurtv.net/english/news/Venezuela-Swears-in-Constituent-Assembly-Members-20170803-0031.html","2017-08-05 10:00:42","https://www.facebook.com/groups/114329212523298","Geopolitics and Bengali civilization",NA,949,8997213,"Facebook","114329212523298",FALSE
14592565363,TRUE,"http://www.telesurtv.net/english/news/Venezuela-Swears-in-Constituent-Assembly-Members-20170803-0031.html","2017-08-04 17:28:34","https://www.facebook.com/479681268841947","teleSUR English","teleSUREnglish",645745,220865,"Facebook","479681268841947",FALSE
14952274025,TRUE,"http://www.telesurtv.net/news/Impiden-a-250-refugiados-pasar-valla-de-Ceuta-20170811-0030.html","2017-08-11 16:21:08","https://www.facebook.com/186321186178","teleSUR","teleSUR",1962501,63345,"Facebook","186321186178",FALSE
16527029446,TRUE,"https://www.inquisitr.com/4489105/salvador-allende-and-the-u-s-backed-coup-on-the-other-911","2017-09-12 06:24:42","https://www.facebook.com/151738981512961","Say NO to the Party of Hate! Vote DEMOCRATIC! Vote BLUE!",NA,10437,1373578,"Facebook","151738981512961",FALSE
75088659206,FALSE,"https://www.gp.org/platform.","2017-09-16 11:58:29","https://www.facebook.com/159224147828020","America: Lose the Two - Green Party","americalosethetwo",692,8776745,"Facebook","159224147828020",FALSE
75088659206,FALSE,"https://www.causes.com/campaigns/108805-demand-aipac-register-as-a-foreign-agent.","2017-09-16 11:58:29","https://www.facebook.com/159224147828020","America: Lose the Two - Green Party","americalosethetwo",692,8776745,"Facebook","159224147828020",FALSE
75088659206,TRUE,"http://www.palestinechronicle.com/protests-and-pledges-as-israeli-pm-ends-mexico-visit-with-offer-to-develop-central-america","2017-09-16 11:58:29","https://www.facebook.com/159224147828020","America: Lose the Two - Green Party","americalosethetwo",692,8776745,"Facebook","159224147828020",FALSE
